Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
352.0,James Johnson,37.0,IND,PF,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,
353.0,Christian Koloko,24.0,LAL,C,1.0,0.0,13.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,
354.0,Damion Lee,32.0,PHO,SG,1.0,0.0,18.0,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,
355.0,Alex Reese,25.0,OKC,PF,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,
356.0,Adama Sanogo,22.0,CHI,C,2.0,0.0,4.5,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,2.0,
357.0,KJ Simpson,22.0,CHO,PG,1.0,0.0,7.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,
358.0,Luke Travers,23.0,CLE,SG,2.0,0.0,3.5,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.5,1.0,0.0,0.5,0.0,1.5,2.0,
359.0,MarJon Beauchamp,24.0,MIL,SF,6.0,0.0,2.8,0.7,1.8,0.364,0.2,1.0,0.167,0.5,0.8,0.6,0.409,0.3,0.3,1.0,0.2,0.5,0.7,0.0,0.2,0.0,0.8,0.5,1.8,
360.0,Cory Joseph,33.0,ORL,PG,5.0,0.0,4.6,0.6,1.6,0.375,0.6,1.2,0.5,0.0,0.4,0.0,0.563,0.0,0.0,,0.4,0.2,0.6,0.6,0.0,0.2,0.2,0.2,1.8,
361.0,Jaylon Tyson,22.0,CLE,SG,4.0,0.0,5.3,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.75,0.3,0.5,0.5,0.0,1.0,1.0,0.5,0.0,0.0,0.8,1.8,1.8,
362.0,Jevon Carter,29.0,CHI,PG,3.0,0.0,4.3,0.7,1.0,0.667,0.3,0.7,0.5,0.3,0.3,1.0,0.833,0.0,0.0,,0.3,0.3,0.7,0.7,0.3,0.0,0.0,0.0,1.7,
363.0,Pacome Dadiet,19.0,NYK,SG,3.0,0.0,7.7,0.7,1.7,0.4,0.3,0.7,0.5,0.3,1.0,0.333,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.3,0.7,1.7,
364.0,Josh Minott,22.0,MIN,SF,3.0,0.0,7.7,0.7,1.3,0.5,0.0,0.7,0.0,0.7,0.7,1.0,0.5,0.3,0.7,0.5,0.0,1.3,1.3,0.0,0.0,0.3,1.0,1.3,1.7,
365.0,Ryan Rollins,22.0,MIL,PG,6.0,0.0,3.5,0.5,0.8,0.6,0.2,0.3,0.5,0.3,0.5,0.667,0.7,0.5,0.7,0.75,0.2,0.5,0.7,0.5,0.2,0.2,0.2,0.7,1.7,
